user_id,onehot_feat1,onehot_feat2,search_active_level,reco_active_level
660,4,1,0,1
1043,5,2,4,2
853,5,2,4,2
1023,5,1,4,1
1187,5,1,5,1
133,7,1,0,2
221,4,1,0,2
1778,4,1,3,3
542,5,2,0,1
1138,4,2,6,3
916,5,2,4,2
282,6,1,3,2
1324,3,1,0,2
807,1,2,0,1
806,7,1,3,2
41,6,1,3,1
1709,4,1,5,2
522,5,2,4,2
478,2,1,0,3
1450,7,1,0,2
1202,3,1,3,1
1039,5,2,0,2
365,2,2,4,3
567,1,1,4,2
310,4,2,3,3
924,4,1,0,2
1318,5,2,4,2
1392,5,1,3,3
1508,5,1,0,2
240,5,2,2,2
1013,3,2,3,1
1071,2,1,0,0
438,2,1,0,1
323,4,2,3,3
661,5,2,0,2
74,2,2,0,3
1787,7,1,0,2
575,5,1,3,2
385,4,2,3,2
843,3,2,4,2
1339,1,2,0,2
155,2,2,3,0
894,1,2,0,1
741,7,1,4,0
970,5,1,4,2
1501,3,2,3,0
620,2,1,3,1
497,5,1,4,2
1660,1,2,0,2
1689,1,1,3,2
1223,7,1,4,1
228,2,1,0,0
1601,2,1,0,2
1300,1,1,0,2
243,7,1,5,2
957,1,2,4,2
917,5,1,0,1
67,2,2,4,2
840,2,2,3,0
960,4,1,0,2
1402,2,2,5,3
981,2,2,0,1
675,5,2,0,0
1596,7,2,0,3
1110,2,1,0,2
1042,5,2,4,2
727,3,2,5,2
1231,3,1,0,3
1181,6,2,0,2
308,1,2,5,2
18,7,2,3,3
765,2,1,0,1
1372,1,1,3,1
141,2,1,0,2
8,1,2,0,1
362,3,1,3,2
1131,7,2,4,1
680,2,1,3,0
777,6,1,3,0
235,2,2,4,2
1410,2,2,3,3
1755,2,1,0,3
611,2,1,3,1
1260,1,2,3,1
805,0,0,0,2
1654,5,1,0,2
485,7,1,0,1
830,5,1,0,2
106,3,1,0,1
376,3,2,0,1
690,2,1,4,2
884,2,2,3,2
292,1,1,5,1
821,1,2,4,2
1082,4,2,3,2
822,5,1,0,1
93,3,1,0,2
279,2,2,0,2
1563,2,2,3,1
1002,1,2,0,1
1359,2,2,4,2
1204,2,2,3,1
737,6,2,0,0
1506,2,1,0,1
1349,2,2,0,1
1672,2,1,0,1
871,2,2,0,2
1512,4,2,0,2
231,5,1,0,2
596,4,2,0,3
446,2,2,0,2
33,2,1,4,0
1272,1,2,0,2
1762,1,2,3,2
1429,2,2,5,2
1192,2,1,0,0
1137,2,2,0,1
77,6,1,0,0
1513,5,1,0,1
532,3,2,3,2
1411,2,1,0,1
1737,2,2,0,1
89,2,1,3,2
1439,3,2,6,2
1003,3,1,3,0
709,3,1,0,1
658,4,1,5,3
1682,2,2,0,1
167,3,2,0,1
1341,2,2,3,0
1761,2,1,4,1
437,5,1,3,1
118,2,2,3,3
742,5,1,4,3
173,7,1,4,3
1222,5,2,0,2
410,7,1,0,1
653,6,1,0,0
397,4,2,3,1
1136,2,1,0,0
885,6,2,4,2
368,5,1,3,3
2,2,2,2,1
241,4,2,4,2
799,2,2,0,2
798,5,2,3,2
1608,2,2,0,2
903,3,2,0,2
1134,1,1,0,2
1332,5,2,3,1
1734,7,1,3,0
617,1,1,3,0
895,2,1,0,1
139,2,2,3,2
1099,3,2,0,0
1588,2,1,3,1
521,7,1,3,1
1209,2,2,4,2
1395,5,2,3,2
145,7,2,3,1
1052,6,2,3,3
1019,5,1,0,1
673,2,2,0,3
1128,2,1,3,2
959,6,2,4,1
971,3,2,0,1
1160,2,1,3,2
1727,3,2,0,0
370,1,2,0,3
553,6,1,0,2
1617,7,2,0,1
1595,3,2,3,0
1075,5,1,0,3
1603,1,2,4,2
1687,1,2,5,2
882,3,2,0,2
1696,3,2,0,2
1725,5,1,0,2
56,7,1,4,0
1080,2,2,0,0
1486,2,2,5,3
1117,2,2,3,1
609,2,2,0,0
144,4,2,0,2
1416,3,1,0,2
38,2,2,0,0
1284,5,1,3,2
1303,5,1,0,2
1029,7,2,0,1
644,6,1,4,2
648,4,1,0,2
814,5,2,3,2
169,4,1,3,2
1353,5,1,3,3
1195,7,1,3,2
1089,2,2,4,3
1631,2,2,5,2
346,5,1,5,3
1491,2,1,3,1
103,3,2,0,3
1295,1,2,0,2
1756,5,1,3,1
571,3,2,4,1
69,2,2,0,1
428,2,2,3,0
114,2,1,0,1
469,1,2,3,1
1417,2,1,3,2
1759,3,2,0,1
1061,1,2,0,2
1309,5,2,0,1
121,1,2,0,2
570,7,1,0,2
868,7,1,0,1
465,2,1,0,3
547,4,1,3,1
846,2,2,3,0
1692,2,1,0,0
1530,4,2,0,1
52,5,1,0,1
1658,1,2,0,1
1581,4,2,4,2
1036,7,2,4,3
459,4,2,4,2
373,2,2,4,2
453,1,2,0,3
641,2,2,4,2
1766,2,2,3,0
31,5,1,0,2
869,5,1,0,1
587,7,1,0,1
1069,7,1,0,0
541,3,1,0,1
915,4,1,3,1
735,5,1,3,3
1667,2,1,3,0
1706,5,1,0,1
1037,5,2,0,2
111,2,1,0,3
1611,1,2,4,1
747,5,2,3,2
202,2,2,3,1
993,5,1,0,1
1671,2,2,0,2
622,2,2,0,1
1604,5,1,5,3
730,3,2,3,2
740,5,1,3,3
725,3,2,0,1
1232,2,1,0,3
1719,3,2,4,1
1375,2,1,0,1
927,2,2,3,1
1655,3,1,0,1
1528,3,2,0,1
355,7,2,3,3
637,6,1,0,1
422,6,1,6,0
736,2,1,0,2
773,2,1,0,1
1693,4,2,5,2
470,5,1,0,3
1350,7,2,3,3
250,5,2,0,1
1457,3,1,0,1
434,5,1,0,0
574,5,1,0,1
635,2,2,0,1
58,5,2,0,0
1014,2,1,0,0
1338,6,1,3,1
201,2,1,4,2
505,2,1,0,3
750,2,2,0,2
188,2,2,0,1
230,2,2,4,2
1333,5,2,0,0
242,5,2,0,1
733,2,2,0,3
926,2,2,0,3
49,1,1,0,2
1718,1,2,0,1
1095,2,2,0,2
1168,2,2,5,2
1679,2,2,3,0
280,5,1,0,1
601,3,1,0,2
1758,2,2,3,1
1738,1,2,0,2
801,7,1,0,1
462,6,1,4,3
1560,1,2,4,3
1500,4,2,0,2
204,5,2,0,2
1047,1,2,0,0
386,3,1,3,2
170,7,1,0,0
1768,4,2,0,1
688,1,2,0,2
1646,5,1,5,2
704,5,2,0,2
377,4,1,3,2
1421,2,1,0,2
1139,2,2,4,2
1518,6,1,0,2
1243,1,2,0,0
1240,5,1,0,0
615,7,1,0,2
484,3,2,3,0
1122,2,1,0,2
1397,2,2,0,3
918,5,2,4,2
610,2,2,0,1
50,4,2,0,0
1510,1,2,0,0
1432,2,2,4,1
1748,3,2,0,1
1020,5,1,0,1
1583,5,1,0,1
686,6,1,3,2
838,5,2,3,3
1182,6,2,0,0
216,7,1,3,2
1083,3,2,0,3
1789,7,1,3,0
1504,2,2,0,2
409,5,2,0,2
1516,5,2,5,3
1433,6,1,3,3
1622,3,2,3,1
135,2,1,0,3
1113,2,2,4,2
1381,2,2,0,1
1377,3,2,4,3
619,2,1,0,1
886,2,1,3,2
65,3,1,5,3
1259,6,1,4,3
1310,5,2,3,1
1451,5,2,4,2
893,7,2,3,3
1492,5,2,2,2
864,2,1,3,0
1251,5,2,0,3
665,2,1,0,1
136,3,2,0,3
1220,4,1,0,2
1044,2,2,0,3
1554,5,1,0,2
1418,6,1,0,1
294,6,1,4,1
1010,4,2,0,2
1348,5,2,0,1
1777,1,2,3,3
1255,2,2,3,1
450,7,2,0,1
433,6,2,3,2
1415,7,1,0,3
1579,2,2,4,2
837,4,1,4,2
1242,2,2,0,0
306,2,2,4,3
184,7,1,0,2
694,3,2,4,3
383,2,1,3,2
768,3,2,3,0
1724,3,1,0,1
70,2,1,0,2
11,2,1,0,2
312,6,2,3,2
1215,5,1,3,1
37,5,2,4,1
1499,5,1,3,0
652,5,2,0,2
112,5,1,0,0
102,5,2,0,3
1287,2,1,0,1
1352,1,2,3,0
1227,5,2,4,3
185,6,2,3,1
1743,4,1,4,3
1038,6,1,0,0
1304,3,1,0,1
456,1,2,0,3
208,1,2,5,3
996,2,1,4,1
791,2,1,3,1
283,5,2,5,3
493,6,1,0,1
222,4,1,3,1
713,7,2,3,1
1700,4,2,5,2
24,2,2,4,1
582,2,2,0,1
1183,2,2,0,0
12,5,1,0,2
1713,5,2,4,2
352,5,1,0,3
1070,2,2,3,3
164,7,2,0,2
1346,4,2,3,1
452,2,1,0,0
84,5,2,0,3
199,5,1,0,1
85,4,1,4,1
962,1,2,0,0
457,1,1,4,0
666,5,2,0,1
867,6,1,0,1
913,2,1,0,1
298,7,2,3,1
1102,3,2,4,1
1550,2,2,5,1
945,1,2,0,1
92,3,2,0,0
528,4,1,3,2
98,3,1,0,3
1470,7,1,0,1
860,2,2,5,3
120,3,1,4,2
68,3,2,3,2
1170,1,1,3,0
1067,1,2,0,3
941,7,2,3,0
512,2,1,4,1
113,5,1,0,1
404,3,1,3,0
1690,2,1,0,2
25,2,2,0,2
1212,2,2,0,1
1050,5,2,3,2
1164,4,1,0,0
1473,7,2,3,3
983,5,2,5,3
140,3,2,3,1
1746,1,2,3,1
1754,5,1,0,1
407,2,2,5,3
1053,3,2,0,1
1387,5,1,0,2
928,5,2,3,1
1270,0,0,0,1
1076,3,2,3,1
786,4,2,3,1
1469,5,1,0,1
1388,2,2,3,1
707,5,1,0,0
1064,1,2,0,0
1191,3,1,3,1
1640,2,2,0,0
836,2,2,3,3
287,2,1,0,1
210,2,1,0,2
215,2,2,4,1
861,2,1,0,1
130,6,2,0,1
1488,2,2,3,2
447,3,2,0,0
1015,5,2,4,3
1193,2,2,0,2
1313,5,1,0,3
552,5,1,0,1
823,2,2,3,2
1292,5,2,5,3
809,7,2,3,3
1155,7,2,5,3
796,5,2,5,2
739,7,2,5,3
1557,6,2,4,1
946,5,2,5,3
1522,2,2,0,1
1378,5,1,0,2
475,4,1,3,1
51,2,2,3,1
1296,2,1,0,1
1011,5,2,0,2
816,5,1,4,2
1533,7,1,0,1
511,2,2,4,3
253,6,2,3,3
193,7,1,3,3
746,2,1,5,3
989,6,2,3,2
1556,2,1,0,1
603,5,2,0,1
580,4,1,3,1
16,5,1,3,1
299,1,2,3,1
1154,7,2,0,2
1281,2,2,0,1
623,1,2,5,2
119,4,2,0,1
1786,4,1,0,2
1246,3,1,0,2
263,3,2,3,3
1434,5,2,0,3
802,2,2,0,1
96,5,2,4,3
1302,2,1,3,1
1630,4,2,2,0
639,5,1,4,1
1770,6,2,3,0
124,6,1,4,2
597,5,1,0,2
502,2,1,5,2
125,6,2,3,3
762,2,2,0,0
1423,5,1,4,1
1093,1,2,0,2
21,5,2,5,3
44,3,2,0,2
797,5,1,3,1
581,1,1,0,1
449,2,2,0,1
1073,3,2,0,1
161,2,2,0,1
115,6,1,4,3
1357,3,2,5,2
722,5,2,4,2
444,2,1,0,1
627,6,2,3,1
1156,2,2,0,1
1298,6,1,0,1
64,1,2,0,0
1361,5,1,5,3
1505,2,2,0,1
863,6,2,0,1
344,2,1,4,1
1320,2,1,0,2
947,3,1,0,0
1477,4,2,0,3
143,2,1,3,2
1543,2,2,4,1
72,1,2,4,2
937,5,1,6,3
1358,7,1,4,3
54,2,2,0,2
1149,7,1,4,2
1645,5,2,3,2
715,5,2,3,0
934,6,2,0,2
1024,1,2,4,2
156,4,2,0,3
1704,3,2,0,2
1708,7,2,3,3
227,2,2,4,3
1051,6,2,3,3
779,2,1,0,2
1495,3,2,0,3
1374,3,1,3,0
189,5,1,4,3
824,6,2,3,1
1408,2,1,5,3
1571,4,2,4,0
1331,5,1,3,2
172,5,2,0,2
654,3,2,0,2
898,6,2,0,0
530,2,1,4,3
1613,6,1,0,2
1176,5,1,3,0
1356,1,2,4,2
160,5,1,0,1
1750,5,2,4,3
1609,2,2,0,2
629,1,1,4,3
1396,5,1,4,3
1305,1,2,0,1
1476,5,1,0,2
1247,0,0,0,1
1420,5,1,3,2
357,5,2,3,1
1254,2,2,3,3
1125,3,2,0,1
473,2,2,0,2
749,2,2,3,0
967,4,1,0,1
71,4,1,4,3
1616,1,2,3,0
190,5,1,0,3
126,5,1,0,2
698,6,1,0,1
520,7,1,0,3
1228,6,1,3,3
531,5,2,0,2
1208,6,1,0,3
1620,2,1,0,0
1490,7,2,0,1
820,7,1,0,3
45,7,2,4,3
1345,4,1,4,3
181,5,2,4,2
205,6,1,0,1
526,5,2,0,3
1715,5,2,3,2
1041,1,1,0,2
565,6,1,0,2
107,3,2,0,1
347,7,2,0,0
285,5,2,4,3
332,2,1,0,2
200,7,2,3,2
411,5,1,0,1
1629,3,2,4,3
850,3,1,5,3
1635,1,2,4,2
1196,5,1,0,2
1440,6,1,3,3
1,2,2,3,1
229,4,2,3,3
442,5,1,0,2
1055,2,1,3,1
1308,6,2,4,2
1269,7,1,3,3
657,3,1,4,3
839,4,2,0,0
562,5,1,0,2
1675,7,2,4,2
1587,2,2,0,2
718,6,1,0,1
1103,1,2,3,2
1186,7,1,5,2
1135,2,2,4,0
1648,2,1,0,2
225,5,2,3,0
699,3,2,0,2
91,2,2,3,1
426,7,1,0,2
1431,7,2,3,3
34,3,2,0,2
187,3,1,4,1
348,5,2,0,2
1000,5,1,3,3
1545,5,2,3,2
150,2,2,6,3
986,7,2,0,2
1644,6,2,3,3
793,5,1,3,3
751,2,2,4,1
1698,2,2,0,2
265,2,1,3,1
1744,5,1,0,1
1335,4,2,3,2
472,3,2,0,2
911,2,1,0,1
515,5,2,5,2
524,1,2,5,2
1612,2,2,4,1
1158,6,1,0,1
1380,6,1,3,2
1482,6,2,0,2
1027,1,2,0,0
1674,2,2,5,2
819,7,1,0,2
420,2,1,0,2
435,2,1,4,3
859,2,1,5,2
87,3,2,3,1
590,2,2,0,1
1097,3,1,3,0
1685,2,1,3,0
1653,1,2,4,2
1199,6,1,4,1
692,2,2,0,2
1354,3,1,0,3
700,6,1,0,2
1225,2,2,3,0
59,1,1,3,1
1267,6,1,0,1
538,5,2,0,2
297,2,1,3,3
879,1,2,0,3
671,3,1,0,1
1790,2,2,0,2
1185,7,2,0,2
295,5,2,4,2
856,2,2,0,0
1334,3,2,5,3
1751,2,2,0,2
1480,7,2,0,3
335,5,2,4,3
122,5,1,0,2
825,2,2,4,2
1116,7,2,4,1
1578,5,1,4,2
1085,2,2,0,3
1169,1,1,4,1
1159,4,1,0,2
9,2,1,0,0
1562,3,1,4,2
1779,2,2,2,0
855,2,2,0,2
752,2,2,3,1
1121,2,1,0,2
1211,7,2,4,2
1753,2,1,3,2
276,2,1,3,3
1494,5,1,4,1
729,4,2,3,3
1271,5,1,3,0
80,4,1,3,3
109,5,2,0,1
1360,5,1,4,3
396,7,2,2,3
1017,7,1,0,2
1218,7,2,0,1
1549,6,1,3,1
954,5,2,0,0
1639,7,1,4,3
543,5,2,4,3
1268,5,2,4,2
83,0,0,0,2
1344,5,1,3,3
466,7,1,4,1
890,7,2,3,2
1265,5,1,3,3
1221,4,1,0,2
1511,4,2,4,3
950,7,2,0,3
300,5,2,3,1
419,7,1,3,2
1552,2,1,4,2
291,7,2,0,2
788,7,1,3,3
1643,2,1,4,2
405,5,2,3,1
556,3,1,0,3
1244,7,1,0,3
1524,4,2,0,3
1213,3,1,3,2
471,1,2,3,3
244,3,1,3,0
1529,5,1,0,1
1458,2,1,0,2
196,2,2,0,0
1638,5,2,0,0
1057,7,2,0,1
557,3,1,0,1
939,4,1,3,2
1701,2,2,0,0
1035,2,2,3,2
948,2,2,0,3
15,2,1,3,0
255,7,1,0,1
1401,5,2,3,3
607,7,1,3,1
1618,2,2,3,0
168,6,2,5,2
877,4,1,3,0
1641,1,1,3,3
674,5,2,0,0
1210,7,1,3,1
1673,3,1,0,2
907,2,2,6,3
1059,2,2,0,1
134,1,1,0,3
1565,7,2,0,3
158,3,1,0,1
1558,5,2,3,2
402,2,1,0,2
1030,7,1,0,1
66,4,1,3,0
525,2,2,4,0
769,7,1,0,2
536,5,1,4,2
1413,3,2,0,1
1448,6,1,4,2
183,1,2,0,0
1703,1,2,0,1
223,4,1,0,1
162,6,1,3,1
642,1,2,0,1
1148,1,1,0,2
1266,7,2,4,2
1366,2,1,5,1
1238,6,1,4,2
891,4,1,0,3
1465,5,1,0,2
284,2,1,0,2
1436,2,2,0,3
1564,3,1,3,1
844,2,1,4,2
670,5,2,0,3
866,2,2,0,0
618,5,1,3,1
381,5,1,3,2
333,4,1,0,3
364,6,1,3,2
1531,4,2,3,3
870,5,1,0,3
1261,5,2,0,3
560,3,1,4,1
782,3,1,5,3
1745,5,1,3,2
481,2,2,0,0
598,7,1,0,2
1577,5,2,0,2
146,3,2,3,0
569,7,2,4,1
1315,5,1,0,2
857,5,2,3,1
951,4,2,3,1
1198,7,1,0,3
321,5,2,4,3
1257,2,1,0,2
1152,2,2,4,3
833,5,1,0,3
1249,1,2,3,1
296,1,2,0,3
1783,2,2,5,3
1461,5,1,5,3
78,4,1,5,1
942,3,2,5,2
634,2,2,3,2
154,3,1,5,2
123,5,1,3,2
32,6,2,0,3
841,2,1,0,2
100,1,1,5,1
343,2,2,3,1
1127,2,2,3,2
322,2,1,0,3
372,3,1,5,0
994,6,2,0,1
20,5,2,0,1
1323,2,2,0,3
681,4,1,0,2
892,2,2,3,2
539,2,1,3,1
979,4,1,4,3
1363,3,2,0,1
1328,1,1,4,2
1384,6,1,5,2
1045,4,1,3,2
697,5,2,4,3
1079,5,2,0,1
612,1,2,3,2
1463,5,2,0,2
803,2,2,0,0
1721,7,2,4,3
714,2,2,4,2
129,2,1,3,2
248,1,2,3,1
1163,2,1,5,3
214,7,1,4,3
1412,5,2,4,2
1594,1,2,4,1
4,1,2,3,2
439,5,1,0,0
303,2,2,4,2
1600,5,1,4,3
605,2,1,3,1
774,3,1,0,1
563,2,2,3,1
646,3,2,5,2
1111,1,2,0,2
897,2,1,0,2
1132,2,2,3,0
1386,2,2,4,2
832,1,1,0,1
783,5,2,3,1
257,1,2,0,2
1515,2,2,3,3
163,3,2,4,2
1385,6,1,0,1
334,2,1,0,2
395,3,1,4,3
829,3,2,0,2
53,6,1,0,2
304,5,2,4,2
1241,5,2,4,2
1428,2,2,0,1
1747,5,2,0,3
858,5,2,4,3
268,4,2,3,2
980,7,1,0,3
1018,3,2,3,0
380,3,2,3,1
325,7,1,3,1
232,5,2,4,2
1774,2,2,3,2
260,2,1,3,1
880,1,1,0,1
1414,3,1,4,3
186,2,2,4,2
559,1,2,0,2
157,2,2,0,2
339,1,2,0,1
1293,2,2,4,2
594,2,1,1,2
1229,4,2,3,2
1464,2,2,0,1
